ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1409071,771049,1,1,1,1,2019-06-14,2019-06-14
-1409064,772756,1,1,1,0,2017-07-27,2017-07-27
-1409062,774245,1,1,1,0,2016-07-17,2016-07-17
-1409055,770882,1,1,1,0,2018-11-04,2018-11-04
-1409041,772729,1,1,1,0,2017-02-12,2017-02-12
-1409017,771493,1,1,1,1,2017-06-25,2017-06-25
-1409013,770096,1,1,1,1,2016-09-23,2016-09-23
-1409008,772958,1,1,1,0,2019-03-16,2019-03-16
-1409004,772360,1,1,1,0,2019-06-10,2019-06-10
-1408986,772430,1,1,1,0,2018-07-31,2018-07-31
-1408972,771342,1,1,1,1,2016-06-09,2016-06-09
-1408960,771630,1,1,1,1,2018-05-08,2018-05-08
-1408960,771887,1,1,1,1,2016-05-20,2016-05-20
-1408940,770290,1,1,1,1,2018-04-22,2018-04-22
-1408934,772515,1,1,1,0,2016-09-26,2016-09-26
-1408921,772305,1,1,1,0,2018-09-11,2018-09-11
-1408914,771408,1,1,1,0,2017-08-01,2017-08-01
-1408908,770518,1,1,1,0,2019-04-09,2019-04-09
-1408867,770926,1,1,1,0,2018-07-31,2018-07-31
-1408856,771460,1,1,1,1,2019-06-11,2019-06-11
-1408856,773754,1,1,1,1,2019-06-07,2019-06-07
-1408840,773667,1,1,1,1,2016-05-19,2016-05-19
-1408832,772059,1,1,1,0,2019-03-16,2019-03-16
-1408824,771827,1,1,1,0,2016-05-26,2016-05-26
-1408823,770202,1,1,1,0,2018-09-11,2018-09-11
-1408816,772020,1,1,1,1,2016-10-27,2016-10-27
-1408809,774530,1,1,1,1,2018-06-10,2018-06-10
-1408788,772984,1,1,1,0,2016-05-24,2016-05-24
-1408782,772033,1,1,1,0,2019-06-01,2019-06-01
-1408768,771261,1,1,1,1,2016-05-20,2016-05-20
-1408760,773582,1,1,1,0,2016-05-20,2016-05-20
-1408733,772662,1,1,1,0,2018-09-04,2018-09-04
-1408726,772961,1,1,1,0,2018-09-11,2018-09-11
-1408706,770902,1,1,1,0,2018-11-19,2018-11-19
-1408688,773517,1,1,1,0,2018-09-12,2018-09-12
-1408677,773091,1,1,1,1,2017-07-03,2017-07-03
-1408669,770668,1,1,1,0,2018-07-31,2018-07-31
-1408669,772613,1,1,1,0,2019-06-10,2019-06-10
-1408656,772984,1,1,1,1,2016-05-20,2016-05-20
-1408652,771629,1,1,1,0,2018-12-12,2018-12-12
-1408646,771817,1,1,1,0,2016-09-11,2016-09-11
